93	-23
-12	23
-61	53
89	-98
36	78
62	-47
5	-34
1	4
73	-20
99	-78
-61	-88
11	-65
-12	71
75	-76
69	-18
-43	-40
-54	-96
-63	52
83	86
61	-87
20	67
13	26
-25	-37
-57	-19
-98	83
59	-75
-64	7
-66	94
85	52
41	10
28	22
41	-33
48	-25
-52	49
-55	38
-40	84
82	-48
20	-9
-42	-40
-36	-64
72	-99
-22	8
32	-51
-10	14
76	40
34	39
46	-38
-9	34
-54	50
40	-15
97	-89
3	-33
95	-48
40	19
-72	-25
49	-27
84	43
-55	-42
53	71
-34	27
-80	51
-58	21
-77	-49
-60	-66
-54	70
-41	0
-69	71
-47	6
-35	31
89	66
-73	0
91	80
10	22
38	17
99	22
65	2
-2	1
-2	-53
-70	-48
-39	-16
-73	45
64	61
-58	90
-50	-33
-46	-95
-16	28
14	-66
-5	53
-4	48
-10	73
50	25
-71	92
20	43
-47	-76
2	-30
55	-16
60	17
-99	0
-70	-46
32	-24
2	-72
4	25
39	-21
14	-41
-39	52
-57	-2
-92	-41
-9	-8
47	83
72	-19
60	86
-77	-96
56	17
42	19
-98	57
-23	-60
35	-56
99	-31
-12	-56
42	97
-87	25
21	70
82	-38
-4	-61
-27	75
38	-91
-56	10
-77	26
-46	46
92	-87
-26	99
49	64
66	92
27	67
21	93
78	-82
-60	38
53	97
19	36
21	76
93	-45
-32	61
15	59
-28	-14
-46	92
93	-70
-41	9
41	-86
-97	59
15	-21
67	90
57	-56
-4	-86
-83	-83
-13	1
78	-99
15	30
-77	80
0	-33
39	-76
56	90
-87	56
0	-59
25	-33
25	42
-60	44
81	63
62	-73
-11	27
36	32
-12	-85
34	26
-81	17
-48	89
5	16
-39	-16
48	-15
-99	54
58	-17
-3	57
-90	-94
-46	78
-33	-12
-35	-64
-46	-5
56	80
10	56
-91	30
-14	31
87	-83
29	10
91	-93
84	-38
-12	-14
67	-18
-97	-29
-3	-61
-45	-53
-86	96
-52	77
-79	28
71	-55
10	-50
23	-7
-34	-51
12	-46
86	-54
-59	-91
-23	-9
96	-9
53	9
35	-52
97	-65
59	77
53	69
-7	55
76	-24
-32	-11
-5	-86
-37	33
-13	72
65	-76
-90	99
-83	44
38	68
35	-41
23	30
-72	-12
60	-13
19	-86
64	-43
40	-79
83	42
-66	82
-94	-33
65	76
-35	25
89	-77
76	-77
60	-89
41	-64
-76	-12
-4	-26
49	72
14	-89
73	11
-15	71
1	-60
38	-58
-66	-15
-7	90
-87	-18
-10	19
96	-31
40	52
78	38
-96	50
-29	-93
31	-55
-44	-21
97	-71
84	89
11	-29
-90	-54
62	19
7	28
-37	36
-94	-11
49	19
-76	-31
-69	-32
44	-19
68	-76
28	-51
18	-72
95	-23
-8	-62
-67	-27
32	70
-46	30
24	-87
64	12
32	-61
61	-65
-15	-65
-95	75
-62	-75
-43	-53
-30	-54
-54	75
-66	-49
24	-73
-36	83
-55	68
46	-46
-6	11
88	42
-20	-61
44	-55
-88	26
56	22
83	-10
61	-10
25	82
15	72
-29	77
77	-30
-64	44
-24	23
-22	-25
55	-65
89	-19
-60	94
96	-85
44	-98
41	-80
80	-74
-80	30
-67	-88
59	0
-1	45
29	-95
52	-52
1	-53
46	7
26	42
96	48
-40	45
-88	85
-35	54
38	76
68	-56
-81	-99
-27	-17
-1	-53
93	18
38	-20
26	92
-58	-31
-98	-96
43	-77
-57	43
-8	-12
-18	-36
-66	-24
-7	37
82	-14
60	-8
-76	51
8	9
13	-38
-16	-16
53	35
-25	17
3	-49
48	-22
50	41
62	90
-89	3
25	-55
-69	41
72	2
35	-36
-60	-8
-77	75
20	-84
90	-22
90	64
40	-65
-25	-77
69	-91
20	-19
-47	-1
-73	79
61	33
-7	-47
86	60
20	-86
56	-5
-8	-12
2	37
24	70
35	52
-38	-2
2	-4
26	50
88	-57
-50	85
9	24
49	37
-78	99
-34	85
18	96
59	7
14	9
63	51
-29	83
36	61
-84	-27
-14	-52
